site,sentiment,word,count
kakao,Positive,좋다,124
kakao,Positive,많다,34
kakao,Positive,아름답다,32
kakao,Positive,조선,28
kakao,Positive,야간,27
kakao,Positive,개장,24
kakao,Positive,최고,21
kakao,Positive,예쁘다,21
kakao,Positive,한복,21
kakao,Positive,멋지다,21
kakao,Negative,사람,4
kakao,Negative,많다,3
kakao,Negative,좋다,3
kakao,Negative,청소,3
kakao,Negative,들어가다,3
kakao,Negative,친구,2
kakao,Negative,선생,2
kakao,Negative,기다리다,2
kakao,Negative,무료,2
kakao,Negative,명시,2
tripadvisor,Positive,좋다,806
tripadvisor,Positive,많다,516
tripadvisor,Positive,궁전,503
tripadvisor,Positive,아름답다,483
tripadvisor,Positive,서울,379
tripadvisor,Positive,한국,379
tripadvisor,Positive,시간,366
tripadvisor,Positive,역사,349
tripadvisor,Positive,입다,340
tripadvisor,Positive,팰리스,298
tripadvisor,Negative,많다,3
tripadvisor,Negative,시간,3
tripadvisor,Negative,사람,2
tripadvisor,Negative,넓다,2
tripadvisor,Negative,궁전,2
tripadvisor,Negative,좋다,2
tripadvisor,Negative,거대,2
tripadvisor,Negative,따르다,2
tripadvisor,Negative,구조,2
tripadvisor,Negative,보이다,2
tripdotcom,Positive,한복,479
tripdotcom,Positive,한국,471
tripdotcom,Positive,궁궐,397
tripdotcom,Positive,입다,360
tripdotcom,Positive,좋다,340
tripdotcom,Positive,아름답다,297
tripdotcom,Positive,서울,242
tripdotcom,Positive,사진,237
tripdotcom,Positive,역사,221
tripdotcom,Positive,많다,195
tripdotcom,Negative,티켓,14
tripdotcom,Negative,환불,14
tripdotcom,Negative,플랫폼,13
tripdotcom,Negative,크다,6
tripdotcom,Negative,한복,6
tripdotcom,Negative,예약,6
tripdotcom,Negative,낭비,6
tripdotcom,Negative,들어가다,6
tripdotcom,Negative,직원,5
tripdotcom,Negative,대하다,5
